day,I_true,I_observed_noisy,NLS_fitted,EKF_fitted,EINN_fitted_seed1
172.0,329.44505882282544,370.24805242154684,208.85811593037533,371.19519552568374,103.87744063013687
173.0,324.73278677811857,366.0646305764925,214.77369589549207,368.9925126673774,105.07993291176577
174.0,320.0874091941867,333.0795080257883,220.85658625198718,364.53212547337887,107.293400496875
175.0,315.50799094955846,313.9201899992925,227.11150528963967,358.6416165505792,110.49467029551421
176.0,310.9936095803802,319.9912001539361,233.54330362567188,353.8208224187786,114.65955515051682
177.0,306.54335512102483,312.0398514962111,240.1569677056461,348.6622155375951,119.76298993110471
178.0,302.1563299463567,344.3820895465093,246.95762373011834,346.3687596698264,125.77915942993316
179.0,297.8316486156466,306.52972636135064,253.95054149420596,341.34409656770697,132.68161830206532
180.0,293.5684377181288,312.31001336315137,261.1411382108346,337.22955218928814,140.44340329685008
181.0,289.36583572019487,288.5588605780486,268.53498275900427,331.22971824104155,149.03713805163906
182.0,285.22299281421584,324.32854400552793,276.13779983293085,328.69158412085216,158.43513072425975
183.0,281.1390707689853,223.4266278373664,283.95547409066586,313.60769871152985,168.60946474640073
184.0,277.11324278177517,287.65765324389776,291.99405473092565,309.44643839981364,179.53208298722765
185.0,273.14469333199656,293.77778860365345,300.2597600185475,306.1104866132757,191.17486561411772
186.0,269.2326180364565,238.02516929734531,308.75898176083865,297.12652657976196,203.50970194303721
187.0,265.37622350620126,322.44034127374215,317.49829021304106,296.16757684592346,216.5085565603685
188.0,261.57472720493894,257.6440380607163,326.4844390531063,290.7712824824427,230.14353000420866
189.0,257.8273573090295,253.6721012745597,335.7243702012112,285.4768093166561,244.38691427971204
190.0,254.13335256903474,226.70111905431725,345.2252190468244,277.4791931458981,259.2112434840146
191.0,250.49196217281738,272.4843093995917,354.99431992096675,274.8137012244665,274.58933980369034
192.0,246.90244561017943,252.444600954623,365.0392113199989,270.83204283322823,290.49435514564607
193.0,243.3640725390298,228.96681332579237,375.367641464774,264.8546696877471,306.89980865075967
194.0,239.87612265307064,245.30362702196214,385.98757420989136,261.128530365981,323.77962033255636
195.0,236.43788555099206,252.66183965653696,396.9071948490022,258.2791125577462,341.1081410750471
196.0,233.04866060716418,261.3641802611468,408.1349159994166,256.22254211206786,358.860179213891
197.0,229.70775684381604,234.6708098072023,419.6793838650651,252.36827525474706,377.0110239172454
198.0,226.4144928046904,204.56948916826946,431.5494847429083,245.58165740412173,395.536465573223
199.0,223.16819643016294,210.74648044179102,443.75435132078405,239.5296880825509,414.41281338095007
200.0,219.96820493381497,169.4109845884702,456.30336932243716,227.3589080002519,433.61691033455406
201.0,216.8138646804484,200.94130917802988,469.2061844784635,223.01924303148937,453.1261457812481
202.0,213.7045310655311,229.44320944099778,482.47270961328326,221.59230771865106,472.91846572299266
203.0,210.63956839606166,220.4494052542352,496.1131316488272,219.67238516703682,492.9723810263847
204.0,207.61834977284144,205.37864504970574,510.13791898951536,216.701891583047,513.2669736938495
205.0,204.64025697414294,197.65309587548683,524.557829218365,213.31272241787522,533.7819013442909
206.0,201.7046803407618,233.6654685708696,539.3839168981406,212.6995158020372,554.4974000409933
207.0,198.81101866244123,204.422284833319,554.6275413514351,210.30025724361388,575.3942855977232
208.0,195.95867906565476,213.7820299943878,570.3003747895496,208.78111317550207,596.4539534876945
